50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
5.6,9.92,14.44,17.26,19.19,4.32,4.52,4.75,1.93,8.84,9.27
,10.14,,,19.26,,,,,,9.12
,10.14,,,19.26,,,,,,9.12
,9.98,,,19.3,,,,,,9.32
,10.15,,,19.31,,,,,,9.16
5.79,10.14,14.62,17.41,19.32,4.35,4.48,4.7,1.91,8.83,9.18
,10,,,19.32,,,,,,9.32
5.53,9.97,14.54,17.42,19.4,4.44,4.57,4.86,1.98,9.01,9.43
,9.89,14.41,17.35,19.41,,4.52,5,2.06,,9.52
,10.19,,,19.44,,,,,,9.25
5.74,10.13,14.71,17.54,19.46,4.39,4.58,4.75,1.92,8.97,9.33
5.7,10.12,14.65,17.5,19.46,4.42,4.53,4.81,1.96,8.95,9.34
5.77,10.19,14.7,17.53,19.47,4.42,4.51,4.77,1.94,8.93,9.28
5.8,10.2,14.8,17.61,19.5,4.4,4.6,4.7,1.89,9,9.3
5.77,10.23,14.77,17.59,19.5,4.46,4.54,4.73,1.91,9,9.27
5.9,10.3,14.8,17.61,19.52,4.4,4.5,4.72,1.91,8.9,9.22
5.72,10.13,14.71,17.57,19.52,4.41,4.58,4.81,1.95,8.99,9.39
,10.26,,,19.52,,,,,,9.26
5.82,10.31,14.89,17.67,19.53,4.49,4.58,4.64,1.86,9.07,9.22
5.67,10.05,14.62,17.53,19.55,4.38,4.57,4.93,2.02,8.95,9.5
5.83,10.3,14.84,17.65,19.55,4.47,4.54,4.71,1.9,9.01,9.25
5.76,10.15,14.7,17.58,19.56,4.39,4.55,4.86,1.98,8.94,9.41
5.75,10.2,14.75,17.61,19.57,4.45,4.55,4.82,1.96,9,9.37
5.73,10.26,14.81,17.65,19.59,4.53,4.55,4.78,1.94,9.08,9.33
5.7,10.22,14.75,17.62,19.6,4.52,4.53,4.85,1.98,9.05,9.38
,10.36,,,19.62,,,,,,9.26
5.68,10.1,14.69,17.61,19.62,4.42,4.59,4.93,2.01,9.01,9.52
5.77,10.27,14.83,17.69,19.64,4.5,4.56,4.81,1.95,9.06,9.37
5.9,10.3,14.8,17.67,19.65,4.4,4.5,4.85,1.98,8.9,9.35
5.8,10.3,14.9,17.73,19.65,4.5,4.6,4.75,1.92,9.1,9.35
,10.48,15.04,17.8,19.66,,4.56,4.62,1.86,,9.18
5.75,10.22,14.79,17.68,19.67,4.47,4.57,4.88,1.99,9.04,9.45
5.75,10.23,14.82,17.7,19.67,4.48,4.59,4.85,1.97,9.07,9.44
,10.19,14.8,17.7,19.68,,4.61,4.88,1.98,,9.49
5.68,10.05,14.69,17.64,19.68,4.37,4.64,4.99,2.04,9.01,9.63
,10.21,14.74,17.66,19.7,,4.53,4.96,2.04,,9.49
5.59,10.11,14.75,17.68,19.7,4.52,4.64,4.95,2.02,9.16,9.59
5.7,10.2,14.8,17.7,19.7,4.5,4.6,4.9,2,9.1,9.5
5.73,10.18,14.78,17.69,19.7,4.45,4.6,4.92,2.01,9.05,9.52
,10.29,,,19.72,,,,,,9.43
5.8,10.3,15,17.83,19.72,4.5,4.7,4.72,1.89,9.2,9.42
5.8,10.3,14.9,17.77,19.72,4.5,4.6,4.82,1.95,9.1,9.42
,,14.81,,19.73,,,4.92,,,
5.76,10.2,14.75,17.69,19.73,4.44,4.55,4.98,2.04,8.99,9.53
5.62,10.13,14.77,17.71,19.74,4.51,4.64,4.97,2.03,9.15,9.61
,10.3,,,19.74,,,,,,9.44
5.9,10.4,14.9,17.76,19.74,4.5,4.5,4.84,1.98,9,9.34
5.81,10.35,14.97,17.82,19.75,4.54,4.62,4.78,1.93,9.16,9.4
,10.3,,,19.75,,,,,,9.45
5.8,10.3,15,17.84,19.75,4.5,4.7,4.75,1.91,9.2,9.45
,10.28,,,19.75,,,,,,9.47
5.74,10.13,14.75,17.71,19.76,4.39,4.62,5.01,2.05,9.01,9.63
5.62,10.09,14.77,17.73,19.76,4.47,4.68,4.99,2.03,9.15,9.67
,10.33,,,19.76,,,,,,9.43
5.83,10.34,14.93,17.8,19.76,4.51,4.59,4.83,1.96,9.1,9.42
5.8,10.3,15,17.85,19.77,4.5,4.7,4.77,1.92,9.2,9.47
,10.27,,,19.77,,,,,,9.5
,10.26,,,19.77,,,,,,9.51
5.81,10.27,14.91,17.8,19.77,4.46,4.64,4.86,1.97,9.1,9.5
5.86,10.42,14.99,17.83,19.77,4.56,4.57,4.78,1.94,9.13,9.35
5.71,10.2,14.83,17.76,19.78,4.49,4.63,4.95,2.02,9.12,9.58
5.67,10.13,14.77,17.73,19.78,4.46,4.64,5.01,2.05,9.1,9.65
5.77,10.21,14.82,17.75,19.78,4.44,4.61,4.96,2.03,9.05,9.57
5.76,10.31,14.97,17.84,19.79,4.55,4.66,4.82,1.95,9.21,9.48
,10.35,,,19.79,,,,,,9.44
,10.4,,,19.79,,,,,,9.39
5.73,10.16,14.8,17.75,19.79,4.43,4.64,4.99,2.04,9.07,9.63
5.8,10.26,14.85,17.77,19.79,4.46,4.59,4.94,2.02,9.05,9.53
,10.2,,,19.8,,,,,,9.6
,10.23,,,19.8,,,,,,9.57
,10.18,14.84,17.78,19.8,,4.66,4.96,2.02,,9.62
5.65,10.24,14.91,17.82,19.8,4.59,4.67,4.89,1.98,9.26,9.56
5.77,10.31,14.94,17.83,19.8,4.54,4.63,4.86,1.97,9.17,9.49
5.9,10.4,15,17.86,19.8,4.5,4.6,4.8,1.94,9.1,9.4
,10.31,,,19.8,,,,,,9.49
5.7,10.3,14.9,17.8,19.8,4.6,4.6,4.9,2,9.2,9.5
5.76,10.2,14.86,17.79,19.8,4.44,4.66,4.94,2.01,9.1,9.6
5.79,10.3,14.87,17.78,19.8,4.51,4.57,4.93,2.02,9.08,9.5
5.88,10.37,15,17.86,19.81,4.49,4.63,4.81,1.95,9.12,9.44
,10.32,,,19.81,,,,,,9.49
5.86,10.36,14.97,17.85,19.81,4.5,4.61,4.84,1.96,9.11,9.45
,10.2,,,19.82,,,,,,9.62
,10.4,,,19.82,,,,,,9.42
5.83,10.33,14.93,17.83,19.82,4.5,4.6,4.89,1.99,9.1,9.49
5.78,10.22,14.82,17.77,19.82,4.44,4.6,5,2.05,9.04,9.6
,10.52,,,19.83,,,,,,9.31
5.83,10.32,14.89,17.81,19.83,4.49,4.57,4.94,2.02,9.06,9.51
5.8,10.4,15.1,17.93,19.83,4.6,4.7,4.73,1.9,9.3,9.43
5.96,10.48,15.04,17.89,19.83,4.52,4.56,4.79,1.94,9.08,9.35
,10.34,,,19.84,,,,,,9.5
5.67,10.14,14.85,17.81,19.84,4.47,4.71,4.99,2.03,9.18,9.7
,10.43,,,19.84,,,,,,9.41
,10.36,,,19.84,,,,,,9.48
5.78,10.21,14.86,17.81,19.84,4.43,4.65,4.98,2.03,9.08,9.63
5.86,10.39,14.99,17.87,19.85,4.53,4.6,4.86,1.98,9.13,9.46
,10.2,,,19.85,,,,,,9.65
5.75,10.29,14.93,17.85,19.85,4.54,4.64,4.92,2,9.18,9.56
5.89,10.42,15.06,17.92,19.85,4.53,4.64,4.79,1.93,9.17,9.43
,10.23,,,19.86,,,,,,9.63
5.77,10.3,14.94,17.86,19.86,4.53,4.64,4.92,2,9.17,9.56
5.78,10.29,14.92,17.85,19.86,4.51,4.63,4.94,2.01,9.14,9.57
5.8,10.3,14.9,17.83,19.86,4.5,4.6,4.96,2.03,9.1,9.56
,10.51,,,19.86,,,,,,9.35
5.82,10.42,15.01,17.89,19.86,4.6,4.59,4.85,1.97,9.19,9.44
5.98,10.48,15.02,17.89,19.86,4.5,4.54,4.84,1.97,9.04,9.38
5.63,10.15,14.83,17.81,19.87,4.52,4.68,5.04,2.06,9.2,9.72
5.82,10.31,14.92,17.85,19.87,4.49,4.61,4.95,2.02,9.1,9.56
6,10.4,15,17.89,19.87,4.4,4.6,4.87,1.98,9,9.47
5.8,10.4,15,17.89,19.87,4.6,4.6,4.87,1.98,9.2,9.47
5.76,10.22,14.88,17.83,19.87,4.46,4.66,4.99,2.04,9.12,9.65
5.9,10.37,14.96,17.87,19.87,4.47,4.59,4.91,2,9.06,9.5
5.92,10.36,14.93,17.85,19.87,4.44,4.57,4.94,2.02,9.01,9.51
5.83,10.33,14.94,17.86,19.88,4.5,4.61,4.94,2.02,9.11,9.55
6,10.2,14.9,17.85,19.88,4.2,4.7,4.98,2.03,8.9,9.68
5.81,10.34,14.99,17.9,19.89,4.53,4.65,4.9,1.99,9.18,9.55
5.73,10.15,14.8,17.8,19.89,4.42,4.65,5.09,2.09,9.07,9.74
,10.17,,,19.89,,,,,,9.72
5.8,10.4,15,17.9,19.89,4.6,4.6,4.89,1.99,9.2,9.49
5.8,10.28,14.97,17.89,19.89,4.48,4.69,4.92,2,9.17,9.61
5.84,10.34,14.97,17.89,19.89,4.5,4.63,4.92,2,9.13,9.55
5.82,10.33,14.98,17.89,19.89,4.51,4.65,4.91,2,9.16,9.56
5.65,10.27,14.9,17.85,19.89,4.62,4.63,4.99,2.04,9.25,9.62
5.68,10.27,15.03,17.93,19.89,4.59,4.76,4.86,1.96,9.35,9.62
5.74,10.25,14.94,17.88,19.9,4.51,4.69,4.96,2.02,9.2,9.65
5.76,10.39,15.12,17.98,19.9,4.63,4.73,4.78,1.92,9.36,9.51
5.97,10.54,15.18,18,19.9,4.57,4.64,4.72,1.9,9.21,9.36
5.97,10.54,15.18,18,19.9,4.57,4.64,4.72,1.9,9.21,9.36
,10.48,,,19.9,,,,,,9.42
5.69,10.15,14.85,17.84,19.91,4.46,4.7,5.06,2.07,9.16,9.76
,10.46,,,19.91,,,,,,9.45
5.69,10.23,15.01,17.94,19.91,4.54,4.78,4.9,1.97,9.32,9.68
5.8,10.3,15,17.93,19.92,4.5,4.7,4.92,1.99,9.2,9.62
,10.47,,,19.92,,,,,,9.45
,10.22,14.97,17.92,19.92,,4.75,4.95,2,,9.7
,10.43,,,19.93,,,,,,9.5
5.9,10.48,15.11,17.98,19.93,4.58,4.63,4.82,1.95,9.21,9.45
5.84,10.28,14.93,17.89,19.94,4.44,4.65,5.01,2.05,9.09,9.66
5.81,10.26,14.91,17.88,19.94,4.45,4.65,5.03,2.06,9.1,9.68
